                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.6391,                 1.9433,                  1.766,                0.38143,                0.25344,                0.21175,                0.10012,                 1.9965,                 2.4375,                 2.2865,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.5408,                 1.8438,                  1.702,                0.41117,                0.24347,                0.21522,                0.10374,                 2.0488,                 2.4073,                 2.2997,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.4755,                 1.8668,                 1.6454,                0.41646,                0.22128,                0.20582,                0.10013,                 2.0397,                 2.4273,                 2.2661,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.5219,                 1.8895,                 1.6762,                0.35753,                0.26497,                  0.209,                0.09969,                 2.0677,                 2.3924,                 2.2506,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.5433,                 1.8326,                 1.6821,                0.41527,                0.24586,                0.22072,                0.10406,                 2.0572,                 2.3946,                 2.3084,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.5497,                 1.8237,                 1.6937,                0.44932,                0.25505,                0.23026,                0.10954,                 2.0301,                 2.3764,                 2.2793,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.4443,                 1.8128,                 1.6272,                0.49308,                0.24296,                0.22533,                0.10952,                 2.0183,                 2.3554,                 2.2552,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.4729,                 1.8241,                  1.658,                0.42215,                  0.246,                0.22385,                 0.1113,                 2.0086,                  2.476,                 2.2635,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.5025,                 1.8469,                 1.6904,                0.46854,                0.24687,                0.23544,                0.11564,                 2.0282,                 2.3727,                 2.2704,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.4911,                 1.7985,                 1.6644,                0.40303,                0.25583,                0.22033,                0.11489,                 2.0715,                 2.3563,                 2.2879,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.4546,                 1.7917,                 1.6533,                0.38067,                 0.2726,                0.22556,                0.11353,                 2.0213,                 2.3213,                 2.2265,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.4701,                 1.7572,                 1.6487,                0.40297,                 0.2689,                0.22648,                0.10659,                 2.0316,                 2.3472,                 2.2616,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.4064,                 1.7444,                  1.599,                0.43261,                0.25212,                0.23531,                0.11517,                 2.0498,                 2.3624,                 2.2986,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.4705,                 1.7514,                 1.6466,                0.46852,                0.24926,                0.24031,                0.11669,                 2.0341,                 2.3857,                 2.2754,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.4509,                  1.724,                 1.6004,                0.40691,                0.24904,                0.21862,                0.10706,                 2.0514,                 2.4509,                  2.263,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.4313,                  1.756,                 1.6223,                0.40744,                0.25661,                0.22262,                0.10385,                 2.0542,                 2.4073,                 2.2859,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.4974,                 1.8092,                 1.6646,                0.40897,                0.24954,                0.21403,                0.09923,                  2.052,                 2.4585,                 2.2924,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.4399,                 1.7811,                 1.6347,                0.42689,                0.25555,                 0.2192,                0.10272,                 2.0404,                 2.3947,                 2.2555,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.4055,                 1.7362,                 1.6095,                0.42779,                 0.2687,                0.23965,                0.11598,                 1.9821,                 2.3237,                 2.2083,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.4249,                 1.7122,                 1.6126,                0.40307,                0.26814,                0.24245,                0.11597,                 1.9888,                 2.3056,                  2.234,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.3867,                 1.6323,                 1.5875,                0.40259,                0.27861,                 0.2354,                0.11835,                  2.005,                 2.3152,                 2.2419,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.3983,                  1.662,                 1.5892,                0.40502,                 0.2663,                0.22768,                0.11806,                 2.0024,                 2.3272,                   2.25,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.3672,                 1.7347,                 1.5819,                0.43445,                0.25305,                0.23924,                0.11983,                 1.9992,                 2.3555,                 2.2647,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.4201,                 1.7191,                 1.6101,                0.43547,                0.25583,                0.23278,                0.11616,                 2.0258,                 2.3699,                 2.2494,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.3472,                 1.6493,                 1.5688,                0.43598,                0.25477,                0.22786,                0.11191,                 2.0245,                 2.3419,                 2.2686,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.3269,                 1.6137,                 1.5485,                  0.412,                 0.2592,                0.22506,                0.11344,                 2.0016,                 2.3159,                 2.2728,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.3534,                 1.6794,                 1.5435,                  0.474,                0.25605,                0.23582,                0.11562,                 1.9888,                 2.2709,                 2.2495,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.3464,                 1.6672,                 1.5705,                0.47062,                0.26552,                0.24834,                0.11873,                 1.9823,                 2.2884,                 2.2536,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.3675,                 1.6484,                 1.5762,                0.45984,                0.25767,                0.25835,                0.12038,                 1.9741,                 2.2825,                 2.2605,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.3855,                  1.705,                 1.6088,                0.41546,                0.27733,                0.25249,                0.12098,                 1.9839,                  2.285,                 2.2735,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.3548,                 1.6464,                 1.5713,                0.46205,                0.25717,                0.24497,                0.12113,                 2.0244,                 2.2468,                 2.2941,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.3412,                 1.6459,                 1.5553,                  0.448,                0.26636,                0.23886,                0.11758,                 2.0523,                 2.2954,                 2.3095,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.3047,                 1.6032,                 1.5341,                0.44769,                0.27783,                0.24173,                0.11434,                 2.0446,                 2.3473,                 2.2916,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.3308,                 1.6235,                 1.5481,                0.45776,                0.27126,                0.23996,                0.11386,                 2.0364,                 2.2817,                 2.2825,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.3391,                 1.6079,                 1.5441,                 0.4097,                0.28936,                0.25586,                 0.1246,                 2.0171,                 2.2208,                 2.2733,             0.00033023,             0.00033023,             0.00033023
                     84,                 1.3047,                 1.6311,                 1.5472,                0.45262,                0.25923,                0.26274,                0.13075,                 2.0154,                 2.2016,                 2.2785,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.2877,                 1.5802,                 1.5176,                0.41588,                0.25583,                0.26209,                0.13026,                 1.9978,                  2.222,                 2.2824,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.2754,                 1.5406,                 1.5124,                0.44102,                0.25505,                 0.2562,                0.12731,                 2.0263,                 2.2438,                 2.3027,             0.00028072,             0.00028072,             0.00028072
